DATE,INDEX_PRICE
2005-01-01,112.1
2005-02-01,113.2
2005-03-01,114.3
2005-04-01,115.8
2005-05-01,114.2
2005-06-01,111.9
2005-07-01,111.3
2005-08-01,111.5
2005-09-01,112.7
2005-10-01,115.4
2005-11-01,116.4
2005-12-01,119.0
2006-01-01,122.6
2006-02-01,126.5
2006-03-01,127.2
2006-04-01,129.4
2006-05-01,134.1
2006-06-01,135.4
2006-07-01,132.9
2006-08-01,132.2
2006-09-01,131.1
2006-10-01,132.5
2006-11-01,134.7
2006-12-01,135.9
2007-01-01,138.1
2007-02-01,138.7
2007-03-01,138.8
2007-04-01,139.2
2007-05-01,139.5
2007-06-01,139.7
2007-07-01,137.4
2007-08-01,135.3
2007-09-01,132.7
2007-10-01,131.3
2007-11-01,132.5
2007-12-01,131.9
2008-01-01,130.9
2008-02-01,133.6
2008-03-01,141.1
2008-04-01,144.8
2008-05-01,144.5
2008-06-01,144.4
2008-07-01,145.8
2008-08-01,146.6
2008-09-01,141.5
2008-10-01,137.3
2008-11-01,131.2
2008-12-01,126.7
2009-01-01,117.5
2009-02-01,110.6
2009-03-01,107.2
2009-04-01,103.6
2009-05-01,104.7
2009-06-01,105.3
2009-07-01,107.9
2009-08-01,111.2
2009-09-01,117.1
2009-10-01,115.5
2009-11-01,116.2
2009-12-01,118.8
2010-01-01,123.6
2010-02-01,121.9
2010-03-01,122.4
2010-04-01,128.1
2010-05-01,126.1
2010-06-01,120.3
2010-07-01,118.3
2010-08-01,121.6
2010-09-01,123.2
2010-10-01,127.0
2010-11-01,130.8
2010-12-01,129.5
2011-01-01,132.1
2011-02-01,133.3
2011-03-01,136.1
2011-04-01,139.5
2011-05-01,141.3
2011-06-01,141.0
2011-07-01,139.7
2011-08-01,138.5
2011-09-01,136.3
2011-10-01,133.3
2011-11-01,129.5
2011-12-01,126.6
2012-01-01,125.6
2012-02-01,127.9
2012-03-01,129.3
2012-04-01,127.7
2012-05-01,125.5
2012-06-01,123.7
2012-07-01,122.1
2012-08-01,121.3
2012-09-01,123.2
2012-10-01,124.8
2012-11-01,123.8
2012-12-01,124.5
2013-01-01,125.0
2013-02-01,125.2
2013-03-01,124.9
2013-04-01,122.2
2013-05-01,121.2
2013-06-01,121.0
2013-07-01,119.6
2013-08-01,119.8
2013-09-01,119.7
2013-10-01,119.2
2013-11-01,119.1
2013-12-01,118.8
2014-01-01,119.2
2014-02-01,121.2
2014-03-01,121.3
2014-04-01,121.9
2014-05-01,122.8
2014-06-01,123.4
2014-07-01,125.6
2014-08-01,128.5
2014-09-01,130.0
2014-10-01,128.7
2014-11-01,129.7
2014-12-01,130.3
2015-01-01,127.4
2015-02-01,127.0
2015-03-01,126.2
2015-04-01,124.5
2015-05-01,124.0
2015-06-01,120.5
2015-07-01,117.3
2015-08-01,115.1
2015-09-01,113.9
2015-10-01,113.4
2015-11-01,111.4
2015-12-01,111.2
2016-01-01,110.9
2016-02-01,110.8
2016-03-01,111.7
2016-04-01,111.3
2016-05-01,112.3
2016-06-01,112.3
2016-07-01,112.9
2016-08-01,113.0
2016-09-01,112.5
2016-10-01,113.0
2016-11-01,114.9
2016-12-01,116.1
2017-01-01,116.4
2017-02-01,119.2
2017-03-01,120.9
2017-04-01,122.7
2017-05-01,122.7
2017-06-01,122.5
2017-07-01,121.6
2017-08-01,123.5
2017-09-01,126.3
2017-10-01,128.5
2017-11-01,128.9
2017-12-01,127.9
2018-01-01,129.7
2018-02-01,132.2
2018-03-01,134.5
2018-04-01,136.4
2018-05-01,142.6
2018-06-01,144.6
2018-07-01,140.0
2018-08-01,137.8
2018-09-01,136.9
2018-10-01,136.6
2018-11-01,134.7
2018-12-01,133.6
2019-01-01,133.0
2019-02-01,133.2
2019-03-01,133.6
2019-04-01,134.1
2019-05-01,132.4
2019-06-01,130.8
2019-07-01,130.5
2019-08-01,128.2
2019-09-01,127.6
2019-10-01,126.5
2019-11-01,125.3
2019-12-01,125.4
2020-01-01,125.9
2020-02-01,123.0
2020-03-01,121.6
2020-04-01,115.6
2020-05-01,111.2
2020-06-01,110.9
2020-07-01,113.0
2020-08-01,116.0
2020-09-01,120.4
2020-10-01,120.7
2020-11-01,121.9
2020-12-01,127.1
2021-01-01,130.8
2021-02-01,132.4
2021-03-01,135.8
2021-04-01,142.9
2021-05-01,149.6
2021-06-01,153.8
2021-07-01,154.696
2021-08-01,160.123
2021-09-01,166.696
2021-10-01,173.947
2021-11-01,174.186
2021-12-01,164.597
2022-01-01,172.621
2022-02-01,185.713
2022-03-01,189.398
2022-04-01,196.022
2022-05-01,187.413
2022-06-01,176.777
2022-07-01,167.950
2022-08-01,162.672
2022-09-01,159.920
2022-10-01,154.535
2022-11-01,154.170
2022-12-01,155.912
2023-01-01,159.313
2023-02-01,162.056
2023-03-01,161.688
2023-04-01,158.696
2023-05-01,159.613
2023-06-01,156.931
