Date;Orders;Consumptions;Stock
2021-01-03;0;38;212
2021-01-10;0;24;188
2021-01-17;0;17;171
2021-01-24;0;30;141
2021-01-31;0;48;93
2021-02-07;0;28;65
2021-02-14;0;32;33
2021-02-21;0;20;13
2021-02-28;473;20;466
2021-03-07;0;33;433
2021-03-14;0;45;388
2021-03-21;0;49;339
2021-03-28;0;33;306
2021-04-04;0;12;294
2021-04-11;0;31;263
2021-04-18;0;11;252
2021-04-25;0;33;219
2021-05-02;256;39;436
2021-05-09;0;47;389
2021-05-16;0;11;378
2021-05-23;0;30;348
2021-05-30;0;42;306
2021-06-06;0;21;285
2021-06-13;0;31;254
2021-06-20;0;34;220
2021-06-27;0;36;184
2021-07-04;0;37;147
2021-07-11;0;25;122
2021-07-18;255;24;353
2021-07-25;0;12;341
2021-08-01;0;46;295
2021-08-08;0;16;279
2021-08-15;0;30;249
2021-08-22;0;18;231
2021-08-29;0;48;183
2021-09-05;0;27;156
2021-09-12;0;13;143
2021-09-19;0;34;109
2021-09-26;0;23;86
2021-10-03;0;18;68
2021-10-10;467;35;500
2021-10-17;0;11;489
2021-10-24;0;29;460
2021-10-31;0;37;423
2021-11-07;0;16;407
2021-11-14;0;17;390
2021-11-21;0;44;346
2021-11-28;0;23;323
2021-12-05;0;26;297
2021-12-12;0;45;252
2021-12-19;0;49;203
2021-12-26;0;13;190
2022-01-02;0;11;179
2022-01-09;0;15;164
2022-01-16;0;13;151
2022-01-23;367;38;480
2022-01-30;0;27;453
2022-02-06;0;35;418
2022-02-13;0;43;375
2022-02-20;0;19;356
2022-02-27;0;45;311
2022-03-06;0;23;288
2022-03-13;0;40;248
2022-03-20;0;24;224
2022-03-27;0;17;207
2022-04-03;0;23;184
2022-04-10;0;32;152
2022-04-17;0;49;103
2022-04-24;344;30;417
2022-05-01;0;25;392
2022-05-08;0;27;365
2022-05-15;0;33;332
2022-05-22;0;35;297
2022-05-29;0;34;263
2022-06-05;0;50;213
2022-06-12;0;38;175
2022-06-19;0;24;151
2022-06-26;0;10;141
2022-07-03;0;34;107
2022-07-10;0;16;91
2022-07-17;0;18;73
2022-07-24;245;33;285
2022-07-31;0;10;275
2022-08-07;0;17;258
2022-08-14;0;33;225
2022-08-21;0;20;205
2022-08-28;0;26;179
2022-09-04;0;17;162
2022-09-11;0;44;118
2022-09-18;150;44;224
2022-09-25;0;42;182
2022-10-02;0;14;168
2022-10-09;0;48;120
2022-10-16;0;50;70
2022-10-23;768;37;801
2022-10-30;0;16;785
2022-11-06;0;18;767
2022-11-13;0;17;750
2022-11-20;0;21;729
2022-11-27;0;43;686
2022-12-04;0;42;644
2022-12-11;0;32;612
2022-12-18;0;33;579
2022-12-25;0;46;533
2023-01-01;0;44;489
2023-01-08;0;49;440
2023-01-15;0;31;409
2023-01-22;0;36;373
2023-01-29;0;44;329
2023-02-05;0;10;319
2023-02-12;0;44;275
2023-02-19;0;46;229
2023-02-26;0;23;206
2023-03-05;0;12;194
2023-03-12;0;10;184
2023-03-19;0;14;170
2023-03-26;0;35;135
2023-04-02;0;23;112
2023-04-09;294;48;358
2023-04-16;0;36;322
2023-04-23;0;18;304
2023-04-30;0;24;280
2023-05-07;0;24;256
2023-05-14;0;35;221
2023-05-21;0;22;199
2023-05-28;0;41;158
2023-06-04;0;48;110
2023-06-11;0;41;69
2023-06-18;554;13;610
2023-06-25;0;39;571
2023-07-02;0;46;525
2023-07-09;0;32;493
2023-07-16;0;48;445
2023-07-23;0;24;421
