Date;Orders;Consumptions;Stock
2021-01-03;0;91;923
2021-01-10;0;69;854
2021-01-17;0;71;783
2021-01-24;0;17;766
2021-01-31;0;62;704
2021-02-07;0;75;629
2021-02-14;0;46;583
2021-02-21;0;68;515
2021-02-28;543;63;995
2021-03-07;0;38;957
2021-03-14;0;17;940
2021-03-21;0;38;902
2021-03-28;0;56;846
2021-04-04;0;39;807
2021-04-11;0;63;744
2021-04-18;0;45;699
2021-04-25;0;27;672
2021-05-02;0;57;615
2021-05-09;0;36;579
2021-05-16;0;53;526
2021-05-23;0;65;461
2021-05-30;0;50;411
2021-06-06;0;46;365
2021-06-13;0;74;291
2021-06-20;0;83;208
2021-06-27;0;85;123
2021-07-04;455;82;496
2021-07-11;0;31;465
2021-07-18;0;51;414
2021-07-25;0;53;361
2021-08-01;0;53;308
2021-08-08;0;80;228
2021-08-15;0;67;161
2021-08-22;0;51;110
2021-08-29;0;83;27
2021-09-05;341;60;308
2021-09-12;0;47;261
2021-09-19;0;36;225
2021-09-26;0;88;137
2021-10-03;0;41;96
2021-10-10;0;37;59
2021-10-17;0;24;35
2021-10-24;0;47;-12
2021-10-31;0;51;-63
2021-11-07;0;77;-140
2021-11-14;0;88;-228
2021-11-21;0;82;-310
2021-11-28;0;79;-389
2021-12-05;0;90;-479
2021-12-12;0;57;-536
2021-12-19;0;28;-564
2021-12-26;578;83;-69
2022-01-02;0;81;-150
2022-01-09;0;85;-235
2022-01-16;0;69;-304
2022-01-23;0;25;-329
2022-01-30;0;17;-346
2022-02-06;0;26;-372
2022-02-13;0;55;-427
2022-02-20;0;85;-512
2022-02-27;0;40;-552
2022-03-06;567;54;-39
2022-03-13;0;50;-89
2022-03-20;0;15;-104
2022-03-27;0;89;-193
2022-04-03;0;61;-254
2022-04-10;0;37;-291
2022-04-17;0;33;-324
2022-04-24;0;62;-386
2022-05-01;0;20;-406
2022-05-08;234;20;-192
2022-05-15;0;26;-218
2022-05-22;0;76;-294
2022-05-29;0;65;-359
2022-06-05;0;32;-391
2022-06-12;0;70;-461
2022-06-19;0;15;-476
2022-06-26;0;20;-496
2022-07-03;578;16;66
2022-07-10;0;43;23
2022-07-17;0;63;-40
2022-07-24;0;26;-66
2022-07-31;0;31;-97
2022-08-07;0;52;-149
2022-08-14;0;50;-199
2022-08-21;0;26;-225
2022-08-28;0;14;-239
2022-09-04;0;46;-285
2022-09-11;0;57;-342
2022-09-18;0;35;-377
2022-09-25;789;71;341
2022-10-02;0;51;290
2022-10-09;0;18;272
2022-10-16;0;78;194
2022-10-23;0;74;120
2022-10-30;0;49;71
2022-11-06;0;31;40
2022-11-13;0;73;-33
2022-11-20;823;31;759
2022-11-27;0;55;704
2022-12-04;0;24;680
2022-12-11;0;92;588
2022-12-18;0;40;548
2022-12-25;0;54;494
2023-01-01;0;15;479
2023-01-08;800;62;1217
2023-01-15;0;69;1148
2023-01-22;0;85;1063
2023-01-29;0;23;1040
2023-02-05;0;74;966
2023-02-12;0;89;877
2023-02-19;0;39;838
2023-02-26;0;49;789
2023-03-05;0;79;710
2023-03-12;423;58;1075
2023-03-19;0;54;1021
2023-03-26;0;38;983
2023-04-02;0;81;902
2023-04-09;0;31;871
2023-04-16;0;41;830
2023-04-23;0;55;775
2023-04-30;0;89;686
2023-05-07;0;57;629
2023-05-14;0;23;606
2023-05-21;0;65;541
2023-05-28;0;77;464
2023-06-04;0;38;426
2023-06-11;0;50;376
2023-06-18;0;55;321
2023-06-25;0;57;264
2023-07-02;0;28;236
2023-07-09;0;48;188
2023-07-16;0;33;155
2023-07-23;0;22;133
