Date;Orders;Consumptions;Stock
2021-01-03;0;44;1231
2021-01-10;0;26;1205
2021-01-17;0;38;1167
2021-01-24;0;53;1114
2021-01-31;0;58;1056
2021-02-07;0;47;1009
2021-02-14;0;84;925
2021-02-21;0;77;848
2021-02-28;543;72;1319
2021-03-07;0;68;1251
2021-03-14;0;63;1188
2021-03-21;0;75;1113
2021-03-28;0;44;1069
2021-04-04;0;92;977
2021-04-11;0;60;917
2021-04-18;0;27;890
2021-04-25;0;27;863
2021-05-02;0;65;798
2021-05-09;293;87;1004
2021-05-16;0;73;931
2021-05-23;0;45;886
2021-05-30;0;73;813
2021-06-06;0;86;727
2021-06-13;0;56;671
2021-06-20;0;85;586
2021-06-27;0;42;544
2021-07-04;455;71;928
2021-07-11;0;21;907
2021-07-18;0;67;840
2021-07-25;0;61;779
2021-08-01;0;29;750
2021-08-08;0;84;666
2021-08-15;0;71;595
2021-08-22;0;84;511
2021-08-29;0;49;462
2021-09-05;341;31;772
2021-09-12;0;16;756
2021-09-19;0;82;674
2021-09-26;0;82;592
2021-10-03;0;20;572
2021-10-10;0;22;550
2021-10-17;0;84;466
2021-10-24;0;42;424
2021-10-31;0;56;368
2021-11-07;0;24;344
2021-11-14;0;15;329
2021-11-21;0;88;241
2021-11-28;0;35;206
2021-12-05;0;45;161
2021-12-12;0;42;119
2021-12-19;0;24;95
2021-12-26;578;36;637
2022-01-02;0;66;571
2022-01-09;0;39;532
2022-01-16;0;51;481
2022-01-23;0;23;458
2022-01-30;0;38;420
2022-02-06;0;88;332
2022-02-13;0;39;293
2022-02-20;0;75;218
2022-02-27;0;62;156
2022-03-06;567;42;681
2022-03-13;0;30;651
2022-03-20;0;78;573
2022-03-27;0;32;541
2022-04-03;0;36;505
2022-04-10;0;20;485
2022-04-17;0;73;412
2022-04-24;0;89;323
2022-05-01;0;86;237
2022-05-08;234;48;423
2022-05-15;0;87;336
2022-05-22;0;71;265
2022-05-29;0;19;246
2022-06-05;0;77;169
2022-06-12;0;86;83
2022-06-19;0;51;32
2022-06-26;0;39;-7
2022-07-03;578;73;498
2022-07-10;0;75;423
2022-07-17;0;59;364
2022-07-24;0;55;309
2022-07-31;0;83;226
2022-08-07;0;30;196
2022-08-14;0;61;135
2022-08-21;0;45;90
2022-08-28;0;49;41
2022-09-04;0;43;-2
2022-09-11;0;49;-51
2022-09-18;0;32;-83
2022-09-25;789;14;692
2022-10-02;0;63;629
2022-10-09;0;23;606
2022-10-16;0;41;565
2022-10-23;0;82;483
2022-10-30;0;87;396
2022-11-06;0;35;361
2022-11-13;0;15;346
2022-11-20;823;31;1138
2022-11-27;0;58;1080
2022-12-04;0;74;1006
2022-12-11;0;87;919
2022-12-18;0;33;886
2022-12-25;0;69;817
2023-01-01;0;54;763
2023-01-08;800;16;1547
2023-01-15;0;50;1497
2023-01-22;0;33;1464
2023-01-29;0;31;1433
2023-02-05;0;70;1363
2023-02-12;0;42;1321
2023-02-19;0;17;1304
2023-02-26;0;85;1219
2023-03-05;0;46;1173
2023-03-12;564;76;1661
2023-03-19;0;19;1642
2023-03-26;0;69;1573
2023-04-02;0;48;1525
2023-04-09;0;48;1477
2023-04-16;0;31;1446
2023-04-23;0;81;1365
2023-04-30;0;52;1313
2023-05-07;0;67;1246
2023-05-14;567;33;1780
2023-05-21;0;63;1717
2023-05-28;0;37;1680
2023-06-04;0;31;1649
2023-06-11;0;17;1632
2023-06-18;0;40;1592
2023-06-25;0;30;1562
2023-07-02;0;44;1518
2023-07-09;0;43;1475
2023-07-16;0;39;1436
2023-07-23;899;69;2266
