Date;Orders;Consumptions;Stock
2021-01-03;0;79;750
2021-01-10;0;65;685
2021-01-17;0;20;665
2021-01-24;0;33;632
2021-01-31;0;21;611
2021-02-07;0;59;552
2021-02-14;0;36;516
2021-02-21;0;18;498
2021-02-28;0;90;408
2021-03-07;0;87;321
2021-03-14;0;86;235
2021-03-21;0;41;194
2021-03-28;250;80;364
2021-04-04;0;51;313
2021-04-11;0;65;248
2021-04-18;0;33;215
2021-04-25;690;90;815
2021-05-02;0;81;734
2021-05-09;0;37;697
2021-05-16;0;46;651
2021-05-23;0;16;635
2021-05-30;0;27;608
2021-06-06;0;69;539
2021-06-13;0;14;525
2021-06-20;0;78;447
2021-06-27;0;25;422
2021-07-04;455;26;851
2021-07-11;0;76;775
2021-07-18;0;21;754
2021-07-25;0;52;702
2021-08-01;0;68;634
2021-08-08;0;39;595
2021-08-15;0;35;560
2021-08-22;0;26;534
2021-08-29;0;72;462
2021-09-05;823;43;1242
2021-09-12;0;33;1209
2021-09-19;0;66;1143
2021-09-26;0;62;1081
2021-10-03;0;68;1013
2021-10-10;0;83;930
2021-10-17;0;40;890
2021-10-24;0;73;817
2021-10-31;0;77;740
2021-11-07;0;70;670
2021-11-14;0;89;581
2021-11-21;0;30;551
2021-11-28;0;23;528
2021-12-05;0;29;499
2021-12-12;0;90;409
2021-12-19;0;21;388
2021-12-26;456;87;757
2022-01-02;0;40;717
2022-01-09;0;57;660
2022-01-16;0;59;601
2022-01-23;0;27;574
2022-01-30;0;89;485
2022-02-06;0;69;416
2022-02-13;0;17;399
2022-02-20;678;35;1042
2022-02-27;0;49;993
2022-03-06;0;15;978
2022-03-13;0;52;926
2022-03-20;0;26;900
2022-03-27;0;41;859
2022-04-03;0;82;777
2022-04-10;0;30;747
2022-04-17;0;25;722
2022-04-24;589;70;1241
2022-05-01;0;41;1200
2022-05-08;0;25;1175
2022-05-15;0;57;1118
2022-05-22;0;89;1029
2022-05-29;0;27;1002
2022-06-05;0;80;922
2022-06-12;0;43;879
2022-06-19;0;79;800
2022-06-26;0;79;721
2022-07-03;321;32;1010
2022-07-10;0;76;934
2022-07-17;0;23;911
2022-07-24;0;17;894
2022-07-31;0;56;838
2022-08-07;0;87;751
2022-08-14;0;59;692
2022-08-21;0;32;660
2022-08-28;0;64;596
2022-09-04;0;78;518
2022-09-11;0;68;450
2022-09-18;0;28;422
2022-09-25;789;89;1122
2022-10-02;0;78;1044
2022-10-09;0;63;981
2022-10-16;0;72;909
2022-10-23;0;62;847
2022-10-30;0;41;806
2022-11-06;231;74;963
2022-11-13;0;76;887
2022-11-20;0;91;796
2022-11-27;0;76;720
2022-12-04;0;64;656
2022-12-11;0;80;576
2022-12-18;0;25;551
2022-12-25;0;77;474
2023-01-01;0;33;441
2023-01-08;800;86;1155
2023-01-15;0;54;1101
2023-01-22;0;28;1073
2023-01-29;0;19;1054
2023-02-05;0;73;981
2023-02-12;0;22;959
2023-02-19;0;50;909
2023-02-26;0;59;850
2023-03-05;0;63;787
2023-03-12;0;54;733
2023-03-19;0;54;679
2023-03-26;0;46;633
2023-04-02;0;14;619
2023-04-09;294;30;883
2023-04-16;0;49;834
2023-04-23;0;47;787
2023-04-30;0;30;757
2023-05-07;0;43;714
2023-05-14;567;79;1202
2023-05-21;0;81;1121
2023-05-28;0;84;1037
2023-06-04;0;72;965
2023-06-11;0;78;887
2023-06-18;0;46;841
2023-06-25;0;87;754
2023-07-02;0;55;699
2023-07-09;643;65;1277
2023-07-16;0;64;1213
2023-07-23;0;50;1163
